,id,text,created_at,retweet_count,favorite_count,coordinates,place,source,rumour,user_id,user_verified,user_followers_count,user_friends_count,user_listed_count,user_favourites_count,user_statuses_count,text_orig,text_lemma
0,544268732046913536,hostages held siege taking place sydney lint chocolate cafe martin place,Sun Dec 14 23:12:32 +0000 2014,108,9,,,"<a href=""http://www.skynews.com.au"" rel=""nofollow"">Sky News Aust Breaking News</a>",yes,16834659,True,150994,85683,2735,1670,114484,#BREAKING: Hostages are being held and a siege is taking place at Sydney's Lindt Chocolat Cafe in Martin Place.,hostage hold siege take place sydney lint chocolate cafe martin place 
1,544271069146656768,understand two gunmen dozen hostages inside cafe siege sydney isis flags remain display,Sun Dec 14 23:21:49 +0000 2014,364,20,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",yes,258627226,True,1672,731,45,14,2475,We understand there are two gunmen and up to a dozen hostages inside the cafe under siege at Sydney.. ISIS flags remain on display #7News,understand two gunman dozen hostage inside cafe siege sydney isis flag remain display 
2,544271362022338560,black islamic flag held window chocolate store martin place sydney hostages inside,Sun Dec 14 23:22:59 +0000 2014,208,35,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",yes,109234928,True,1148,1164,40,5,3313,"Black Islamic flag being held up in window of #lindt chocolate store in Martin Place, Sydney - hostages inside. http://t.co/fAV7PEuY6P",black islamic flag hold window chocolate store martin place sydney hostage inside 
3,544271743331078144,reports coming hostage situation cafe australian city sydney,Sun Dec 14 23:24:30 +0000 2014,1528,267,,,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",yes,5402612,True,12528978,3,101793,0,22397,Reports are coming in of a hostage situation at a cafe in the Australian city of Sydney http://t.co/4qJHS5Gabq,report come hostage situation cafe australian city sydney 
4,544272537341812736,sydney siege gunman forces hostages hold isis flag window,Sun Dec 14 23:27:39 +0000 2014,404,51,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",yes,1960878613,True,2115,136,40,44,634,SYDNEY SIEGE: Gunman forces hostages to hold up ISIS flag in window http://t.co/9K3XXEiSFa http://t.co/cATxCjYXpy,sydney siege gunman forces hostage hold isis flag window 
5,544272561266503681,breaking hostage siege sydney man flag similar live reports,Sun Dec 14 23:27:45 +0000 2014,120,6,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",yes,49460512,False,12054,1226,321,29,8772,BREAKING a hostage siege in Sydney with a man with an IS flag or similar - live reports from @bkjabour http://t.co/VWugbceCAR,break hostage siege sydney man flag similar live report 
6,544273050188148736,hostages held sydney chocolate shop forced hold islamic flag,Sun Dec 14 23:29:41 +0000 2014,478,119,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",yes,1020058453,True,188152,4737,3507,296,37363,Hostages Held In Sydney Chocolate Shop Forced To Hold Up Islamic Flag http://t.co/HFOY0ctLNV https://t.co/E4mPEUMATs,hostage hold sydney chocolate shop force hold islamic flag 
7,544273563872538624,alleged isis militants take hostages busy sydney cafe developing,Sun Dec 14 23:31:44 +0000 2014,107,21,,,"<a href=""http://www.ipraxalab.com/wordpress/breaking/"" rel=""nofollow"">BREAKING NEWS Testing new</a>",yes,375721095,False,110901,3,868,2,18356,MORE: Alleged ISIS Militants Take Hostages In Busy Sydney Cafe -Developing - http://t.co/gDkig15YuN http://t.co/tYe1QbavWl,alleged isis militant take hostage busy sydney cafe developing 
8,544273885437652992,horrifying situation siege sydney martin place lint cafe reports people held hostage inside,Sun Dec 14 23:33:01 +0000 2014,287,35,"{'type': 'Point', 'coordinates': [-0.15794983, 51.54381572]}","{'full_name': 'Camden Town, London', 'url': 'https://api.twitter.com/1.1/geo/id/5de8cffc145c486b.json', 'country': 'United Kingdom', 'place_type': 'city', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-0.213503, 51.512805], [-0.105303, 51.512805], [-0.105303, 51.572068], [-0.213503, 51.572068]]]}, 'contained_within': [], 'country_code': 'GB', 'attributes': {}, 'id': '5de8cffc145c486b', 'name': 'Camden Town'}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",yes,27831488,True,14884,663,289,977,3311,Horrifying situation - siege at Sydney's Martin place Lindt cafe. Reports of up to 20 people held hostage inside http://t.co/UvweEI80PJ,horrify situation siege sydney martin place lint cafe report people hold hostage inside 
9,544274879055675392,police surrounding cafe central sydney reports hostages taken,Sun Dec 14 23:36:57 +0000 2014,298,42,,,"<a href=""http://news.sky.com"" rel=""nofollow"">SkyNews Alerts - Breaking</a>",yes,87416722,True,1354187,6,14415,0,26920,Police surrounding cafe in central Sydney after reports of hostages being taken,police surround cafe central sydney report hostage take 
10,544275597464444929,australian police cordon sydney street reports say hostages held cafe flag window similar used militants,Sun Dec 14 23:39:49 +0000 2014,121,10,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",yes,19038934,True,402518,263,5449,21,27861,Australian police cordon off Sydney street; reports say hostages held in a cafe. Flag in window similar to those used by #ISIS militants,australian police cordon sydney street report say hostage hold cafe flag window similar use militant 
11,544276998017646593,islamic state flag one window sydney,Sun Dec 14 23:45:23 +0000 2014,173,46,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",yes,15400294,False,17530,418,854,1205,63156,"This is The Islamic State flag, not the one in the window in Sydney. http://t.co/PV3UNuGCms",islamic state flag one window sydney 
12,544277516773380097,siege sydney martin place underway hour hostages remain inside,Sun Dec 14 23:47:26 +0000 2014,254,33,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",yes,9609632,True,230782,395,4063,28,55210,Siege at Sydney's Martin Place has now been underway for an hour. Hostages remain inside. http://t.co/mmOH7zakyB http://t.co/VAghE9YLm3,siege sydney martin place underway hour hostage remain inside 
13,544277728930062336,sydney airspace closed,Sun Dec 14 23:48:17 +0000 2014,251,56,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",yes,292777349,False,201996,3446,2228,299,21817,SYDNEY AIRSPACE CLOSED,sydney airspace close 
14,544277817987330049,understand hillary clinton amp sen einstein correctly st step current sydney hostage situation sympathize w f n bastard,Sun Dec 14 23:48:38 +0000 2014,114,91,"{'type': 'Point', 'coordinates': [-122.38818655, 37.6190301]}","{'full_name': 'California, US', 'url': 'https://api.twitter.com/1.1/geo/id/fbd6d2f5a4e4a15e.json', 'country': 'United States', 'place_type': 'admin', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-124.482003, 32.528832], [-114.131212, 32.528832], [-114.131212, 42.009519], [-124.482003, 42.009519]]]}, 'contained_within': [], 'country_code': 'US', 'attributes': {}, 'id': 'fbd6d2f5a4e4a15e', 'name': 'California'}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",yes,412682869,False,19247,1373,435,20,902,"If I understand Hillary Clinton &amp; Sen Feinstein correctly, 1st step for current Sydney hostage situation is to empathize w the f'n bastards.",understand hillary clinton amp sen einstein correctly st step current sydney hostage situation sympathize w f n bastard 
15,544279262547935232,reportedly hostages amp gunmen inside lint cafe sydney,Sun Dec 14 23:54:23 +0000 2014,114,7,,,"<a href=""http://www.GroupTweet.com"" rel=""nofollow"">GroupTweet</a>",yes,16834659,True,150995,85683,2735,1670,114484,Reportedly 13 hostages &amp; 2 or more gunmen inside Lindt cafe in Sydney  #sydneysiege (@liztilley84),reportedly hostage amp gunman inside lint cafe sydney 
16,544280397472088064,update hostages sydney cafe brandishing black shahid flags identical used isis,Sun Dec 14 23:58:53 +0000 2014,103,18,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",yes,2738397743,False,7356,5724,142,1195,7932,"UPDATE: Hostages in Sydney cafe brandishing black Shahada flags, identical to those used by ISIS. - @7NewsSydney http://t.co/xap6sGvEdT",update hostage sydney cafe brandishing black shahid flag identical use isis 
17,544280399044960256,sydney siege hostages held inside martin place cafe live updates,Sun Dec 14 23:58:54 +0000 2014,322,44,,,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",yes,87818409,True,2997111,1081,34941,130,102252,Sydney siege: hostages held inside Martin Place cafe – live updates http://t.co/Zrnli5FXN6,sydney siege hostage hold inside martin place cafe live update 
18,544281235271745537,note flag held sydney hostages flag commonly used isis,Mon Dec 15 00:02:13 +0000 2014,134,26,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",yes,1020058453,True,187867,4737,3509,296,37330,Note: Flag held up by Sydney hostages is NOT the flag commonly used by ISIS http://t.co/HFOY0ctLNV http://t.co/2zOj5KynRz,note flag hold sydney hostage flag commonly use isis 
19,544281589749137408,latest reports incident sydney opera house,Mon Dec 15 00:03:37 +0000 2014,168,47,,,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",yes,16675569,True,307104,1767,4263,487,84704,#SydneySiege latest: Reports of an incident at Sydney Opera House  http://t.co/eJdNXzreT9,late report incident sydney opera house 
20,544282005941530624,hostages sydney cafe made hold islamic flags,Mon Dec 15 00:05:17 +0000 2014,103,51,,,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",yes,17469289,True,702080,41323,14574,1743,59595,Hostages in Sydney cafe made to hold up Islamic flags http://t.co/I1PsUPekkB,hostages sydney cafe make hold islamic flag 
21,544282355989753857,breaking news gunmen take hostages sydney cafe wave islamic flag,Mon Dec 15 00:06:40 +0000 2014,180,28,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",yes,292777349,False,201986,3540,2228,299,21790,"BREAKING NEWS: Gunmen take hostages at Sydney cafe, wave Islamic flag http://t.co/zmSo3ARDVs http://t.co/QHajosoOPW",break news gunman take hostage sydney cafe wave islamic flag 
22,544282449388519424,hostages held sydney cafe islamic flag seen window local tv,Mon Dec 15 00:07:02 +0000 2014,392,66,,,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",yes,1652541,True,5637829,1043,88899,843,112870,"Hostages held in Sydney cafe, Islamic flag seen in window: local TV http://t.co/BF78HpFgWh",hostage hold sydney cafe islamic flag see window local tv 
23,544284078330376192,pray held hostage right sydney police responsible may peace prevail,Mon Dec 15 00:13:31 +0000 2014,237,345,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",yes,23950893,False,168916,407,2519,214,4060,Pray with me for those being held hostage right now in Sydney.. And for the police and those responsible.. May peace prevail,pray hold hostage right sydney police responsible may peace prevail 
24,544284455909998592,gunman takes several hostages sydney cafe parades islamic militants flag window opera house also evacuated,Mon Dec 15 00:15:01 +0000 2014,131,9,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",yes,14569869,True,514418,3050,6541,78,65800,"Gunman takes several hostages in Sydney cafe, parades Islamic militants' flag in window. Opera House also evacuated. http://t.co/uatZQpAsOS",gunman take several hostage sydney cafe parade islamic militants flag window opera house also evacuate 
25,544284859628523521,flag lint cafe window appears shahid flag islamic state flag live blog,Mon Dec 15 00:16:37 +0000 2014,114,15,,,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",yes,16675569,True,307179,1767,4262,487,84707,"The flag in the Lindt cafe window appears to be a Shahada flag, not an Islamic State flag. Live blog: http://t.co/3yf38dA6Gs #SydneySiege",flag lint cafe window appear shahid flag islamic state flag live blog 
26,544285296565948416,breaking hostages taken central cafe jihadist flag held window,Mon Dec 15 00:18:21 +0000 2014,814,123,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",yes,64643056,True,824420,460,13368,23,102584,"BREAKING: Hostages taken in central #Sydney café, jihadist flag held against window http://t.co/7hJUmKz1eY http://t.co/TeK7ZjFHm6",break hostage take central cafe jihadist flag hold window 
